HP Number,HP Date,Name of Owner,Asset,Registration Number,Engine Number,Chassis Date,Year of Manufacturing,ORC,State,Zone,Repo Date,Segment,Photo Link,Correctly Placed,Location,Contact Person,Inspection Done
HP-ICICIB-100090,2018-12-02,Asha Nair,JCB 3DX Backhoe Loader,MP58 CG 6374,ENP7634239,2017-02-15,2017,ORC-MP-45073,Madhya Pradesh,Central,2025-06-10,Construction,https://images.example.com/assets/MP58CG6374.jpg,Yes,"Yard E, Gwalior",Anita Das (+91 9182642090),No
HP-KMBL-100091,2018-11-25,Kavita Sharma,Tata Hitachi EX 200 Excavator,MH51 WF 6253,ENB9291907,2016-10-26,2016,ORC-MH-71836,Maharashtra,West,2025-05-25,Construction,https://images.example.com/assets/MH51WF6253.jpg,Yes,"Yard A, Nagpur",Meera Sharma (+91 9083556958),No
HP-INDB-100092,2023-04-17,Shruti Iyer,Volvo EC210B Excavator,WB26 OR 6932,ENI5149948,2021-02-27,2021,ORC-WB-31499,West Bengal,East,2026-02-10,Construction,https://images.example.com/assets/WB26OR6932.jpg,Yes,"Yard C, Kolkata",Priya Pillai (+91 9196337290),No
HP-INDB-100093,2019-08-11,Anjali Gupta,JCB 3DX Backhoe Loader,KL61 IK 8185,ENI5742184,2019-08-25,2019,ORC-KL-34408,Kerala,South,2024-06-17,Construction,https://images.example.com/assets/KL61IK8185.jpg,Yes,"Yard D, Kochi",Vivek Sharma (+91 9581524146),No
HP-ICICIB-100094,2025-04-25,Pankaj Yadav,Eicher 380 Super DI Tractor,AP85 NA 2161,ENZ0387165,2023-08-11,2023,ORC-AP-15476,Andhra Pradesh,South,2024-06-14,Farm,https://images.example.com/assets/AP85NA2161.jpg,Yes,"Yard E, Vijayawada",Lakshmi Das (+91 9283179851),No
HP-SBINB-100095,2023-04-02,Shruti Pandey,Eicher 380 Super DI Tractor,PB12 OJ 8179,ENO7780095,2021-07-26,2021,ORC-PB-35344,Punjab,North,2024-02-24,Farm,https://images.example.com/assets/PB12OJ8179.jpg,No,"Yard A, Amritsar",Mohit Joshi (+91 9142067447),No
HP-AXISB-100096,2024-05-05,Suresh Singh,Kubota MU4501 Tractor,GJ43 MY 4965,ENR6988694,2022-04-17,2022,ORC-GJ-82597,Gujarat,West,2024-01-16,Farm,https://images.example.com/assets/GJ43MY4965.jpg,Yes,"Yard E, Rajkot",Vivek Reddy (+91 9583330294),No
HP-ICICIB-100097,2017-03-24,Vivek Pillai,Kubota MU4501 Tractor,MP61 VC 2137,ENA8047101,2016-01-03,2016,ORC-MP-97803,Madhya Pradesh,Central,2024-04-20,Farm,https://images.example.com/assets/MP61VC2137.jpg,Yes,"Yard C, Gwalior",Lakshmi Mehta (+91 9824290677),No
HP-KMBL-100098,2021-11-28,Ritu Mishra,John Deere 5050D Tractor,TS33 YA 3471,END8266771,2020-05-15,2020,ORC-TS-88803,Telangana,South,2026-10-01,Farm,https://images.example.com/assets/TS33YA3471.jpg,Yes,"Yard C, Warangal",Suresh Das (+91 9067425632),No
HP-KMBL-100099,2020-03-10,Amit Nair,Kubota MU4501 Tractor,TS55 AU 9413,ENJ2533555,2018-07-12,2018,ORC-TS-34496,Telangana,South,2025-08-09,Farm,https://images.example.com/assets/TS55AU9413.jpg,Yes,"Yard D, Hyderabad",Pooja Shah (+91 9163366855),No
HP-AXISB-100100,2024-09-17,Sunita Choudhary,Mahindra 575 DI Tractor,MP45 YX 5380,ENR9646419,2022-06-10,2022,ORC-MP-42159,Madhya Pradesh,Central,2025-11-03,Farm,https://images.example.com/assets/MP45YX5380.jpg,No,"Yard E, Gwalior",Deepak Choudhary (+91 9810410612),No
